SOURCE,FREQUENCY,GEOLEVEL,GEOID,GEONAME,MARKET,PERIOD,YEAR,QUARTER,MONTH,SUPPRESSED,TOT_LOANS,TOT_UPB,PCT_LOANS,PCT_UPB,TOT_LOANAMT,AVE_PAYMENT,AVE_MTMLTV,PCT_MTMLTV_LE60,PCT_MTMLTV_61_70,PCT_MTMLTV_71_80,PCT_MTMLTV_81_90,PCT_MTMLTV_91_100,PCT_MTMLTV_GT100,AVE_INTRATE,PCT_INTRATE_LT_3,PCT_INTRATE_3_4,PCT_INTRATE_4_5,PCT_INTRATE_5_6,PCT_INTRATE_GE_6,PCT_TERM_ARM_1_4,PCT_TERM_ARM_5PL,PCT_TERM_FRM_15,PCT_TERM_FRM_30,AVE_VANTAGESCR,PCT_VS_VERYPOOR,PCT_VS_POOR,PCT_VS_FAIR,PCT_VS_GOOD,PCT_VS_EXCELLENT,AVE_AGE_LOAN,PCT_TENURE_1_4,PCT_TENURE_5_7,PCT_TENURE_8_10,PCT_TENURE_11PL,PCT_GOVERNMENT,PCT_ENTERPRISE,PCT_OTHER
NMDB,Quarterly,National,USA,United States,All Mortgages,2013Q1,2013,1,3,0,52594,8607.2,100,100,9569.6,1255,70.9,34.3,11.2,15.1,11.5,13.9,14.2,5.4,2.4,17.4,24.2,23.7,32.3,2,8.4,21.7,67.8,715,2.3,10.6,13,43.5,30.7,61,50.7,18.4,20.7,10.2,19.3,54.4,26.3
NMDB,Quarterly,National,USA,United States,All Mortgages,2013Q2,2013,2,6,0,52409,8604.4,100,100,9563.9,1245,70.2,34.6,11.6,15.4,11.9,13.8,12.8,5.3,3,20.2,24.1,22.2,30.5,2.1,8.1,21.9,67.9,716,2.1,10.2,13,44.4,30.3,60,51.2,18,19.2,11.6,19.6,54.5,25.9
NMDB,Quarterly,National,USA,United States,All Mortgages,2013Q3,2013,3,9,0,52022,8552.7,100,100,9518.5,1258,69.2,35.1,12.1,15.5,12.5,13.4,11.5,5.2,3.1,21.1,25.3,21.4,29.1,2.1,7.8,22,68.1,716,2,10.1,13.1,44.5,30.2,60,51.6,17.6,17.1,13.7,19.8,54.5,25.6
NMDB,Quarterly,National,USA,United States,All Mortgages,2013Q4,2013,4,12,0,51740,8510,100,100,9500.1,1272,68.1,36,12.8,15.5,13,12.6,10.1,5.2,3.1,21.6,26.5,20.9,27.9,2.1,7.6,22,68.3,716,2,10,13.2,44.8,30,61,51.7,17.2,16.7,14.4,20,54.6,25.3
NMDB,Quarterly,National,USA,United States,All Mortgages,2014Q1,2014,1,3,0,51457,8458.9,100,100,9482,1284,66.8,37.2,13.4,15.5,13.3,11.8,8.8,5.2,3.1,21.9,27.5,20.5,27,2.1,7.5,21.8,68.6,719,1.9,9.6,12.8,44.3,31.4,62,51.8,16.7,16.7,14.9,20.2,54.7,25
NMDB,Quarterly,National,USA,United States,All Mortgages,2014Q2,2014,2,6,0,51395,8471,100,100,9524.5,1278,65.7,38.4,13.9,15.7,13.2,11.2,7.6,5.1,3.1,22.2,28.7,20,26,2.1,7.3,21.7,68.9,720,1.7,9.3,12.8,44.9,31.3,63,52,16.2,16.1,15.7,20.4,54.8,24.8
NMDB,Quarterly,National,USA,United States,All Mortgages,2014Q3,2014,3,9,0,51289,8476.2,100,100,9557.9,1282,64.6,39.7,14.2,15.8,13.1,10.5,6.6,5.1,3.1,22.5,29.9,19.4,25.1,2.1,7.2,21.5,69.2,720,1.7,9.1,12.8,44.7,31.6,63,51.9,16.3,15.7,16.1,20.6,54.9,24.6
NMDB,Quarterly,National,USA,United States,All Mortgages,2014Q4,2014,4,12,0,51183,8478.8,100,100,9588.7,1284,63.7,40.9,14.5,15.9,13,9.9,5.7,5,3.1,23,30.8,18.8,24.2,2.1,7,21.4,69.4,720,1.7,9,13,45.1,31.2,64,50.9,17.5,15.1,16.5,20.7,55,24.3
NMDB,Quarterly,National,USA,United States,All Mortgages,2015Q1,2015,1,3,0,51113,8486.6,100,100,9624.5,1284,62.9,42,14.7,16,12.9,9.4,5,5,3.2,24.2,31,18.2,23.4,2.1,6.9,21.3,69.7,723,1.6,8.7,12.5,44.2,33,65,50.7,17.9,14.5,16.9,20.8,55.1,24.1
NMDB,Quarterly,National,USA,United States,All Mortgages,2015Q2,2015,2,6,0,50924,8481.7,100,100,9636.7,1278,62.3,42.8,14.9,16,12.7,9.2,4.5,5,3.3,25.5,31.2,17.4,22.6,2,6.8,21.3,69.9,724,1.5,8.4,12.4,44.7,32.9,65,51.4,17.5,13.8,17.3,21,55.1,24
