SOURCE,FREQUENCY,GEOLEVEL,GEOID,GEONAME,MARKET,PERIOD,YEAR,QUARTER,MONTH,SUPPRESSED,TOT_LOANS,TOT_UPB,PCT_LOANS,PCT_UPB,TOT_LOANAMT,AVE_PAYMENT,AVE_MTMLTV,PCT_MTMLTV_LE60,PCT_MTMLTV_61_70,PCT_MTMLTV_71_80,PCT_MTMLTV_81_90,PCT_MTMLTV_91_100,PCT_MTMLTV_GT100,AVE_INTRATE,PCT_INTRATE_LT_3,PCT_INTRATE_3_4,PCT_INTRATE_4_5,PCT_INTRATE_5_6,PCT_INTRATE_GE_6,PCT_TERM_ARM_1_4,PCT_TERM_ARM_5PL,PCT_TERM_FRM_15,PCT_TERM_FRM_30,AVE_VANTAGESCR,PCT_VS_VERYPOOR,PCT_VS_POOR,PCT_VS_FAIR,PCT_VS_GOOD,PCT_VS_EXCELLENT,AVE_AGE_LOAN,PCT_TENURE_1_4,PCT_TENURE_5_7,PCT_TENURE_8_10,PCT_TENURE_11PL,PCT_GOVERNMENT,PCT_ENTERPRISE,PCT_OTHER
NMDB,Quarterly,National,USA,United States,All Mortgages,2013Q1,2013,1,3,0,,8607.2,,100,,,80.5,22.4,11.7,17.6,13,15.8,19.5,5.1,3.6,21.9,26.5,21.2,26.8,4,12.5,13.6,70,715,2.2,10.3,12.6,46.2,28.7,48,58.5,20.7,17,3.7,17.3,52.9,29.8
NMDB,Quarterly,National,USA,United States,All Mortgages,2013Q2,2013,2,6,0,,8604.4,,100,,,79.2,22.9,12.3,18,13.4,15.6,17.6,5,4.2,25.2,25.9,19.6,25,4,11.9,13.8,70.3,716,2,9.8,12.5,47.4,28.2,47,59.2,19.7,16.7,4.5,17.6,53.1,29.3
NMDB,Quarterly,National,USA,United States,All Mortgages,2013Q3,2013,3,9,0,,8552.7,,100,,,77.8,23.8,13.1,18.2,14.2,14.9,15.8,4.9,4.3,26.2,27.3,18.6,23.6,4.1,11.3,13.9,70.6,716,1.9,9.6,12.7,47.4,28.4,47,59.7,18.7,15.9,5.7,17.8,53.2,29
NMDB,Quarterly,National,USA,United States,All Mortgages,2013Q4,2013,4,12,0,,8510,,100,,,76.2,24.9,14.1,18.1,14.8,14.1,13.9,4.9,4.3,26.5,28.8,18,22.4,4.1,10.9,13.9,71,717,1.9,9.3,12.7,48.1,28.1,48,60.1,17.6,16.3,6.1,18,53.3,28.6
NMDB,Quarterly,National,USA,United States,All Mortgages,2014Q1,2014,1,3,0,,8458.9,,100,,,74.6,26.5,15.1,18,15.1,13.1,12.2,4.9,4.2,26.7,29.9,17.6,21.5,4.2,10.6,13.8,71.4,720,1.7,8.9,12.3,47.1,30,49,60.2,16.6,16.8,6.4,18.2,53.4,28.4
NMDB,Quarterly,National,USA,United States,All Mortgages,2014Q2,2014,2,6,0,,8471,,100,,,73.1,28.1,15.8,18.2,15,12.3,10.6,4.8,4.2,26.8,31.4,17.1,20.6,4.3,10.2,13.6,71.8,721,1.6,8.5,12.3,48,29.7,50,60.6,15.5,16.8,7.1,18.4,53.4,28.2
NMDB,Quarterly,National,USA,United States,All Mortgages,2014Q3,2014,3,9,0,,8476.2,,100,,,71.8,29.7,16.2,18.5,14.7,11.7,9.2,4.8,4.1,27,32.8,16.4,19.7,4.4,9.9,13.4,72.3,722,1.5,8.3,12.3,47.7,30.2,50,60.7,15.1,16.8,7.4,18.5,53.4,28
NMDB,Quarterly,National,USA,United States,All Mortgages,2014Q4,2014,4,12,0,,8478.8,,100,,,70.6,31.2,16.5,18.6,14.5,11,8.1,4.8,4.1,27.5,33.8,15.7,18.8,4.4,9.6,13.3,72.7,721,1.5,8.1,12.4,48.3,29.7,51,59.9,16.1,16.2,7.8,18.6,53.5,27.9
NMDB,Quarterly,National,USA,United States,All Mortgages,2015Q1,2015,1,3,0,,8486.6,,100,,,69.7,32.4,16.8,18.8,14.3,10.5,7.2,4.7,4.2,29,33.7,15.1,18,4.4,9.4,13.2,73,725,1.4,7.7,11.9,46.9,32,52,59.9,16.3,15.6,8.2,18.7,53.6,27.7
NMDB,Quarterly,National,USA,United States,All Mortgages,2015Q2,2015,2,6,0,,8481.7,,100,,,69.1,33.2,16.9,18.9,14.1,10.4,6.5,4.7,4.3,30.6,33.6,14.3,17.2,4.4,9.1,13.1,73.4,726,1.3,7.5,11.7,47.7,31.7,52,61,15.5,14.7,8.8,18.9,53.5,27.6
